Sample Number,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Phishing?,Number of Attributes,Average Time in Seconds,Failure Rate,Normalized Time,Link?,Number of Links
1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0.0909,0.233333333,0,0
2,0,1,1,0,0,0,0,0,1,0,0,1,3,23.8,0.3846,0.476666667,1,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0.103333333,1,5
4,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0.1429,0.193333333,1,6
5,0,1,1,0,0,0,0,0,0,1,0,1,3,17.7,0.1667,0.273333333,1,3
6,0,0,0,0,0,0,0,0,1,1,1,1,3,14.8,0.0714,0.176666667,0,0
7,0,0,0,0,0,1,0,0,0,1,0,1,2,12.8,0.2105,0.11,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.05,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0.3636,0.543333333,0,0
14,0,0,0,0,1,0,1,0,0,0,0,1,2,23.7,0.4118,0.473333333,0,0
15,0,0,0,0,0,0,0,0,0,1,0,1,1,29.2,0.4375,0.656666667,0,0
29,0,1,0,1,0,0,0,0,0,0,0,1,2,21,0.1333,0.383333333,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0.25,0,1,3
31,0,1,1,0,0,0,0,0,0,1,0,1,3,19,0.2308,0.316666667,1,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0.02,1,4
33,1,0,0,0,1,0,0,0,0,1,0,1,3,39.5,0.2857,1,1,4
34,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.083333333,1,3
35,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0.01,0,0
36,0,0,0,0,0,1,0,0,0,0,0,1,1,32.5,0.7143,0.766666667,1,3
37,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0.0909,0.076666667,1,6
