,Sample Number,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Phishing?,Cues,Cluster
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,2,0,1,1,0,0,0,0,0,0,0,0,1,2,2
2,3,0,1,0,1,0,0,0,0,0,0,0,1,2,2
3,4,0,0,0,1,0,0,0,0,0,0,0,1,1,2
4,5,0,0,1,1,0,0,0,0,0,0,0,1,2,2
5,6,0,0,0,0,0,0,0,0,1,1,1,1,3,2
6,7,0,0,0,0,0,1,0,0,0,1,0,1,2,2
7,8,0,0,0,1,0,0,0,0,0,0,0,1,1,2
8,9,0,0,0,0,1,0,0,0,0,0,0,1,1,4
9,11,0,0,0,0,0,0,1,0,0,0,0,1,1,4
10,12,0,0,0,0,1,0,0,0,0,0,0,1,1,4
11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,15,0,0,0,1,0,0,1,0,0,0,0,1,2,4
14,16,0,0,0,0,0,0,0,0,0,1,0,1,1,0
15,17,0,0,0,1,0,0,1,0,0,0,0,1,2,0
16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0
18,20,0,0,0,0,1,0,0,0,0,0,0,1,1,0
19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0
21,26,0,0,0,0,0,0,0,0,0,1,0,1,1,3
22,27,0,0,0,1,0,0,1,0,0,0,0,1,2,3
23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,29,0,0,0,1,0,0,0,0,0,0,0,1,1,3
25,30,0,0,0,0,0,0,0,0,0,0,1,1,1,3
26,31,0,0,0,1,0,0,0,0,0,0,0,1,1,3
27,33,0,0,0,0,0,1,0,0,0,0,0,1,1,3
28,34,0,1,0,0,0,0,0,0,0,0,0,1,1,3
29,35,0,1,0,0,0,0,0,0,0,0,0,1,1,1
30,36,0,1,1,0,0,0,0,0,0,1,0,1,3,1
31,37,0,1,0,0,0,0,0,0,0,0,0,1,1,1
32,38,1,0,0,0,1,0,0,0,0,1,0,1,3,1
33,39,0,1,0,0,0,0,0,0,0,0,0,1,1,1
34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,41,0,0,0,0,0,1,0,0,0,0,0,1,1,1
36,42,0,1,0,0,0,0,0,0,0,0,0,1,1,1
37,43,0,1,1,0,0,1,0,0,0,0,0,1,3,1
